unit_number,area,price,available_on,display_lease_term
0111,662,2935,2025-03-07,13
0114,662,2860,2025-02-08,12
0205,662,2960,2025-03-28,13
0806,662,2860,2025-03-06,13
1001,851,3464,2025-02-22,13
